704006009080010000003020450000000002056000780100000000025030100000040060900500307 # 27 # 10 # 2022 # 001 # 2022-10-27 # 81 # 2022-10-27-SC--001 # SC #  # Cracking The Cryptic # Easy # 220 # 0:15:11 #  # FH NS
090020080500000070030105004300042008000600000000750006900801050080000009010030040 # 26 # 08 # 2020 # 05233 # 2020-08-26 # 81 # 2020-08-26-TG-TGH-05233 # TG # TGH # Telegraph # Medium # 500 #  #  # 
850043700904000000000000400500030102000060300201080007009000000000000603003720095 # 03 # 12 # 2020 # 05332 # 2020-12-03 # 81 # 2020-12-03-TG-TGH-05332 # TG # TGH # Telegraph # Medium # 500 #  #  # 
030004006408000200000100009080370020000020090020840050000500008501000700090006005 # 27 # 10 # 2022 # 017 # 2022-10-27 # 81 # 2022-10-27-SC--017 # SC #  # Cracking The Cryptic # Medium # 500 #  #  # FH NS HS LP LCT1
700300026150000090002004000315000600000106000006000214000500700090000042480007005 # 14 # 08 # 2008 # 01119 # 2008-08-14 # 81 # 2008-08-14-TG-TGH-01119 # TG # TGH # Telegraph # Medium # 502 #  #  # 
000000000086740500900530002003000410190000025028000900200084003005026170000000000 # 13 # 05 # 2009 # 01352 # 2009-05-13 # 81 # 2009-05-13-TG-TGH-01352 # TG # TGH # Telegraph # Medium # 502 #  #  # 
000080000010000005003409180000001020400000706020790000006508300200000010000070000 # 09 # 09 # 2009 # 01454 # 2009-09-09 # 81 # 2009-09-09-TG-TGH-01454 # TG # TGH # Telegraph # Medium # 502 #  #  # 
072004010100080005300007008004650080000000000080071500200700004400020003060900820 # 16 # 09 # 2010 # 01773 # 2010-09-16 # 81 # 2010-09-16-TG-TGH-01773 # TG # TGH # Telegraph # Medium # 502 #  #  # 
003000400002904800470008090000073010030000040050860000040300086006509100007000200 # 14 # 12 # 2011 # 02162 # 2011-12-14 # 81 # 2011-12-14-TG-TGH-02162 # TG # TGH # Telegraph # Medium # 502 #  #  # 
005700008060000705000800000080060020003000500050030090000009004704000000100027300 # 29 # 11 # 2014 # 03136 # 2014-11-29 # 81 # 2014-11-29-TG-TGH-03136 # TG # TGH # Telegraph # Medium # 502 #  #  # 
000000205070010340000802000000043009050000030600700000000008000043090010019000050 # 19 # 07 # 2017 # 04099 # 2017-07-19 # 81 # 2017-07-19-TG-TGH-04099 # TG # TGH # Telegraph # Medium # 502 #  #  # 
063800015090400060004030800000200700080000020002008000009080200070003090420009630 # 24 # 05 # 2018 # 04408 # 2018-05-24 # 81 # 2018-05-24-TG-TGH-04408 # TG # TGH # Telegraph # Medium # 502 #  #  # 
000054000080006920004000100000403006900020000200008000005000000079500010300670000 # 26 # 09 # 2018 # 04533 # 2018-09-26 # 81 # 2018-09-26-TG-TGH-04533 # TG # TGH # Telegraph # Medium # 502 #  #  # 
083504920004700500000000000029300080100000004070001350000000000002007600065103840 # 20 # 10 # 2018 # 04557 # 2018-10-20 # 81 # 2018-10-20-TG-TGH-04557 # TG # TGH # Telegraph # Medium # 502 #  #  # 
000560000050008709000000005000807900001030800000401000700000300804700060000049000 # 02 # 05 # 2019 # 04751 # 2019-05-02 # 81 # 2019-05-02-TG-TGH-04751 # TG # TGH # Telegraph # Medium # 502 #  #  # 
370000040005070010002500000000060071009400000700030000000004500060090200200000067 # 11 # 09 # 2019 # 04883 # 2019-09-11 # 81 # 2019-09-11-TG-TGH-04883 # TG # TGH # Telegraph # Medium # 502 #  #  # 
002705603000010009050200000010009030403000805020500060000007080200030000705802300 # 14 # 08 # 2021 # 05586 # 2021-08-14 # 81 # 2021-08-14-TG-TGH-05586 # TG # TGH # Telegraph # Medium # 502 #  #  # 
700590002000000080109020000030470000290000008000012040000040005040000070900053001 # 03 # 09 # 2009 # 01449 # 2009-09-03 # 81 # 2009-09-03-TG-TGH-01449 # TG # TGH # Telegraph # Medium # 504 #  #  # 
000290000840000002205860300600900000090010040000006005001005407900000026000070000 # 29 # 05 # 2014 # 02952 # 2014-05-29 # 81 # 2014-05-29-TG-TGH-02952 # TG # TGH # Telegraph # Medium # 504 #  #  # 
000300001030790406000401007060003090000020000020100030900800000805009070200007000 # 21 # 08 # 2014 # 03036 # 2014-08-21 # 81 # 2014-08-21-TG-TGH-03036 # TG # TGH # Telegraph # Medium # 504 #  #  # 
024800060001000000580020000130000006000601000600000098000090025000080400010050830 # 23 # 05 # 2015 # 03311 # 2015-05-23 # 81 # 2015-05-23-TG-TGH-03311 # TG # TGH # Telegraph # Medium # 504 #  #  # 
010402000907000105850000000090007000040328090000900030000000069500000300000204080 # 11 # 03 # 2016 # 03604 # 2016-03-11 # 81 # 2016-03-11-TG-DIAB-03604 # TG # DIAB # Telegraph # Hard # 504 #  #  # 
000803090130060005004000000050000020200709000070100050008000200500030048040607000 # 14 # 12 # 2017 # 04247 # 2017-12-14 # 81 # 2017-12-14-TG-TGH-04247 # TG # TGH # Telegraph # Medium # 504 #  #  # 
401030060200500109060000000005000080000703000020408500000000040509002000010090708 # 30 # 05 # 2018 # 04414 # 2018-05-30 # 81 # 2018-05-30-TG-TGH-04414 # TG # TGH # Telegraph # Medium # 504 #  #  # 
000900008320407000600000001061000780000050000087000390800000009700809010400006000 # 22 # 09 # 2018 # 04529 # 2018-09-22 # 81 # 2018-09-22-TG-TGH-04529 # TG # TGH # Telegraph # Medium # 504 #  #  # 
000000006603090070000007930056008000007504200000900160084700010090000004100000000 # 29 # 06 # 2022 # 05905 # 2022-06-29 # 81 # 2022-06-29-TG-TGH-05905 # TG # TGH # Telegraph # Medium # 504 #  #  # 
010000620000003000078020300000000543700030002853000000006070180000690000045000000 # 17 # 09 # 2022 # 05985 # 2022-09-17 # 81 # 2022-09-17-TG-TGH-05985 # TG # TGH # Telegraph # Medium # 504 #  #  # 
007000400000750000065203010040906080000080000050402090020805730000097000003000600 # 04 # 11 # 2010 # 01815 # 2010-11-04 # 81 # 2010-11-04-TG-TGH-01815 # TG # TGH # Telegraph # Medium # 506 #  #  # 
000408000504000010039000200205000600400000001000000007001500960000700004000803000 # 29 # 12 # 2010 # 01862 # 2010-12-29 # 81 # 2010-12-29-TG-TGH-01862 # TG # TGH # Telegraph # Medium # 506 #  #  # 
070003240005010600200000009040060002000205000600040010700000003002050904069300080 # 12 # 01 # 2011 # 01874 # 2011-01-12 # 81 # 2011-01-12-TG-TGH-01874 # TG # TGH # Telegraph # Medium # 506 #  #  # 
070802000004000200036050000040907030500408001060503090000040750009000300000300020 # 02 # 03 # 2011 # 01916 # 2011-03-02 # 81 # 2011-03-02-TG-TGH-01916 # TG # TGH # Telegraph # Medium # 506 #  #  # 
007804000000005040030000050300070409900301007402080003050000070080900100000708200 # 12 # 09 # 2013 # 02709 # 2013-09-12 # 81 # 2013-09-12-TG-TGH-02709 # TG # TGH # Telegraph # Medium # 506 #  #  # 
800500090250000076100020300000860000060010080000092000008050007530000019090003002 # 20 # 09 # 2014 # 03066 # 2014-09-20 # 81 # 2014-09-20-TG-TGH-03066 # TG # TGH # Telegraph # Medium # 506 #  #  # 
600020001020089000090000000060000054573090286480000090000000030000870040700060008 # 13 # 11 # 2014 # 03120 # 2014-11-13 # 81 # 2014-11-13-TG-TGH-03120 # TG # TGH # Telegraph # Medium # 506 #  #  # 
005073810000000005030506000001604700040000020009700500000107030400000000017390200 # 11 # 12 # 2014 # 03148 # 2014-12-11 # 81 # 2014-12-11-TG-TGH-03148 # TG # TGH # Telegraph # Medium # 506 #  #  # 
507001200000720005003000000300100058600903000780006009000000700100079000002400506 # 18 # 03 # 2015 # 03245 # 2015-03-18 # 81 # 2015-03-18-TG-TGH-03245 # TG # TGH # Telegraph # Medium # 506 #  #  # 
100000000300207001062000940400078000007060100000920008053000790200305006000000003 # 21 # 01 # 2016 # 03554 # 2016-01-21 # 81 # 2016-01-21-TG-TGH-03554 # TG # TGH # Telegraph # Medium # 506 #  #  # 
000016058000308000000000007900050081703000502520090006800000100000809000240160000 # 04 # 05 # 2016 # 03658 # 2016-05-04 # 81 # 2016-05-04-TG-TGH-03658 # TG # TGH # Telegraph # Medium # 506 #  #  # 
700040002500630000103000007020579080000000000050328070800000401000003006900010008 # 08 # 12 # 2016 # 03876 # 2016-12-08 # 81 # 2016-12-08-TG-TGH-03876 # TG # TGH # Telegraph # Medium # 506 #  #  # 
500304000030090080000080400610700090003000500040006031006030000890060050000409007 # 18 # 02 # 2017 # 03948 # 2017-02-18 # 81 # 2017-02-18-TG-TGH-03948 # TG # TGH # Telegraph # Medium # 506 #  #  # 
000932007000800009389000000094070300060000020002090010000000271900001000500326000 # 31 # 01 # 2018 # 04295 # 2018-01-31 # 81 # 2018-01-31-TG-TGH-04295 # TG # TGH # Telegraph # Medium # 506 #  #  # 
093570400000000006000009005800040701030200060706090003300400000900000000004016320 # 11 # 04 # 2019 # 04730 # 2019-04-11 # 81 # 2019-04-11-TG-TGH-04730 # TG # TGH # Telegraph # Medium # 506 #  #  # 
001908200800600070500000863000054000040000020000120000475000002010002006002500100 # 17 # 08 # 2019 # 04858 # 2019-08-17 # 81 # 2019-08-17-TG-TGH-04858 # TG # TGH # Telegraph # Medium # 506 #  #  # 
003070400000001009009600170006708000700000504000206300051009700900300000002010600 # 08 # 10 # 2020 # 05276 # 2020-10-08 # 81 # 2020-10-08-TG-TGH-05276 # TG # TGH # Telegraph # Medium # 506 #  #  # 
001400000350020010900000004038010070720000006010070540800000001040080025000007600 # 18 # 02 # 2021 # 05409 # 2021-02-18 # 81 # 2021-02-18-TG-TGH-05409 # TG # TGH # Telegraph # Hard # 506 #  #  # 
050000080090810006200507009070003090000080000030100020700601008900034010020000060 # 27 # 08 # 2022 # 05964 # 2022-08-27 # 81 # 2022-08-27-TG-TGH-05964 # TG # TGH # Telegraph # Medium # 506 #  #  # 
300000600004500020010008009900700008002050003000600000000027006000030010700001000 # 27 # 10 # 2022 #  # 2022-10-27 # 81 # 2022-10-27-EP-DIF # EP # DIF # El Pais # Medium # 506 #  #  # FH NS HS LCT1
060002000000000300004150000020000080000678000007400030401300050075000000200007019 # 31 # 10 # 2022 #  # 2022-10-31 # 81 # 2022-10-31-EP-DIF # EP # DIF # El Pais # Medium # 508 # 0:24:23 #  # FH NS HS LCT1 LCT2
040000000100200005005006200590000300006508700003000068002300480300007000000000010 # 04 # 03 # 2009 # 01301 # 2009-03-04 # 81 # 2009-03-04-TG-TGH-01301 # TG # TGH # Telegraph # Medium # 508 #  #  # 
004050300073081090020000000000007000005304200000600000008000130030240950000000600 # 23 # 04 # 2009 # 01335 # 2009-04-23 # 81 # 2009-04-23-TG-TGH-01335 # TG # TGH # Telegraph # Medium # 508 #  #  # 
035000090008900000000030007004000010750010006062000500500040001000001600040000230 # 03 # 06 # 2009 # 01370 # 2009-06-03 # 81 # 2009-06-03-TG-TGH-01370 # TG # TGH # Telegraph # Medium # 508 #  #  # 
000000000302000407805400002000100000603005801000009000508096300207000506000000000 # 18 # 10 # 2012 # 02427 # 2012-10-18 # 81 # 2012-10-18-TG-TGH-02427 # TG # TGH # Telegraph # Medium # 508 #  #  # 
000503000003080206400000109100002703000000000805300004306000000007090002000705000 # 15 # 11 # 2014 # 03122 # 2014-11-15 # 81 # 2014-11-15-TG-TGH-03122 # TG # TGH # Telegraph # Medium # 508 #  #  # 
207000840000620000090000005705000006000207000100000207070000080000940000086000503 # 08 # 10 # 2016 # 03815 # 2016-10-08 # 81 # 2016-10-08-TG-TGH-03815 # TG # TGH # Telegraph # Medium # 508 #  #  # 
024000860005003009000000050000208000600040001000901000080070000107500400090000170 # 08 # 03 # 2017 # 03966 # 2017-03-08 # 81 # 2017-03-08-TG-TGH-03966 # TG # TGH # Telegraph # Medium # 508 #  #  # 
300008007060020108000050000605400030000000000098000702000040000904010053000200009 # 04 # 04 # 2018 # 04358 # 2018-04-04 # 81 # 2018-04-04-TG-TGH-04358 # TG # TGH # Telegraph # Medium # 508 #  #  # 
000000000020359000490002006000000608000204000801000490602800059000537000000000000 # 18 # 01 # 2019 # 04647 # 2019-01-18 # 81 # 2019-01-18-TG-DIAB-04647 # TG # DIAB # Telegraph # Hard # 508 #  #  # 
000300070170000008000062509000040900700500006005080000002850000950000003040003000 # 05 # 03 # 2022 # 05789 # 2022-03-05 # 81 # 2022-03-05-TG-TGH-05789 # TG # TGH # Telegraph # Medium # 508 #  #  # 
060007905400080300000001000000004210000200000072600050000000000001060403806400020 # 15 # 04 # 2022 # 05830 # 2022-04-15 # 81 # 2022-04-15-TG-DIAB-05830 # TG # DIAB # Telegraph # Hard # 508 #  #  # 
800309000000080007000040502250003100700010008001500039109000000500000000000906000 # 01 # 09 # 2022 # 05969 # 2022-09-01 # 81 # 2022-09-01-TG-TGH-05969 # TG # TGH # Telegraph # Medium # 508 #  #  # 
017002360800000000500000078600500204040200610000010080200000007009000000000031000 # 05 # 11 # 2022 #  # 2022-11-05 # 81 # 2022-11-05-NYT-MD # NYT # MD # New York Times # Medium # 508 #  #  # FH NS HS LCT1
000070004960000200002500807003901000090050070000002500305007100001000083600010000 # 07 # 08 # 2008 # 01113 # 2008-08-07 # 81 # 2008-08-07-TG-TGH-01113 # TG # TGH # Telegraph # Medium # 510 #  #  # 
400702003002040000000600028070403000390000015000506070150004000000000900700800001 # 02 # 04 # 2009 # 01317 # 2009-04-02 # 81 # 2009-04-02-TG-TGH-01317 # TG # TGH # Telegraph # Medium # 510 #  #  # 
071000800082004003600008000020400050000503000060001090000805000900300560006000130 # 08 # 07 # 2009 # 01400 # 2009-07-08 # 81 # 2009-07-08-TG-TGH-01400 # TG # TGH # Telegraph # Medium # 510 #  #  # 
400006200000010307750300080000000708020000050901000000080007026507020000009600100 # 16 # 07 # 2009 # 01407 # 2009-07-16 # 81 # 2009-07-16-TG-TGH-01407 # TG # TGH # Telegraph # Medium # 510 #  #  # 
000080000800301056002090040007000003056000780401000900010040800630800004000050000 # 10 # 11 # 2010 # 01820 # 2010-11-10 # 81 # 2010-11-10-TG-TGH-01820 # TG # TGH # Telegraph # Hard # 510 #  #  # 
000406002052000040100200308000000070003105400010080000406001009090000130200300000 # 02 # 05 # 2012 # 02282 # 2012-05-02 # 81 # 2012-05-02-TG-TGH-02282 # TG # TGH # Telegraph # Medium # 510 #  #  # 
600000007090021000002907000205400800400000002006008103000009700060310020300000004 # 28 # 06 # 2012 # 02331 # 2012-06-28 # 81 # 2012-06-28-TG-TGH-02331 # TG # TGH # Telegraph # Medium # 510 #  #  # 
000000028000038070300004000020050910500302007063000080007900005090720000150000000 # 11 # 10 # 2012 # 02421 # 2012-10-11 # 81 # 2012-10-11-TG-TGH-02421 # TG # TGH # Telegraph # Medium # 510 #  #  # 
001070060400000700000241050000000680050000020632000000580927000009000005070050400 # 09 # 01 # 2014 # 02812 # 2014-01-09 # 81 # 2014-01-09-TG-TGH-02812 # TG # TGH # Telegraph # Medium # 510 #  #  # 
053000270020900080000030000301007500040000090005000306000080000060201030092000840 # 24 # 06 # 2015 # 03343 # 2015-06-24 # 81 # 2015-06-24-TG-TGH-03343 # TG # TGH # Telegraph # Hard # 510 #  #  # 
000503008070020400004001200050000783000208000103000090008300000005060040200907000 # 06 # 04 # 2017 # 03995 # 2017-04-06 # 81 # 2017-04-06-TG-TGH-03995 # TG # TGH # Telegraph # Medium # 510 #  #  # 
000100000801030600000902830090000750060000340058000020075209000000040205000008000 # 02 # 11 # 2019 # 04935 # 2019-11-02 # 81 # 2019-11-02-TG-TGH-04935 # TG # TGH # Telegraph # Hard # 510 #  #  # 
000207009060040020000000701610000090708906300030000018402000000080050040300800000 # 27 # 03 # 2020 # 05081 # 2020-03-27 # 81 # 2020-03-27-TG-DIAB-05081 # TG # DIAB # Telegraph # Hard # 510 #  #  # 
300001008580000010100298000000700000007000200000015000000652007050004083700300005 # 06 # 06 # 2020 # 05152 # 2020-06-06 # 81 # 2020-06-06-TG-TGH-05152 # TG # TGH # Telegraph # Medium # 510 #  #  # 
907201600000509100000000020032900700050000080009005260040000000001703000000102007 # 21 # 10 # 2020 # 05289 # 2020-10-21 # 81 # 2020-10-21-TG-TGH-05289 # TG # TGH # Telegraph # Medium # 510 #  #  # 
050060027700500600200004003000107009009000500400805000600000001004002006870010000 # 19 # 03 # 2021 # 05438 # 2021-03-19 # 81 # 2021-03-19-TG-DIAB-05438 # TG # DIAB # Telegraph # Hard # 510 #  #  # 
000000306000009000603071500000010045060000010180040007002490708000500000507000400 # 29 # 04 # 2022 # 05844 # 2022-04-29 # 81 # 2022-04-29-TG-DIAB-05844 # TG # DIAB # Telegraph # Hard # 510 #  #  # 
409000002080000570010304000650840000000902000000057043000709050091000060500000409 # 26 # 08 # 2009 # 01442 # 2009-08-26 # 81 # 2009-08-26-TG-TGH-01442 # TG # TGH # Telegraph # Medium # 512 #  #  # 
000900300000304005100508400005000930802000104049000200008105006500607000006003000 # 11 # 02 # 2010 # 01587 # 2010-02-11 # 81 # 2010-02-11-TG-TGH-01587 # TG # TGH # Telegraph # Hard # 512 #  #  # 
080020390000000700070000000600304005800002007700805001090000080000600000036010000 # 16 # 04 # 2015 # 03274 # 2015-04-16 # 81 # 2015-04-16-TG-TGH-03274 # TG # TGH # Telegraph # Medium # 512 #  #  # 
000007000600400003030200000506000080000608790010000400000001040400009052080700000 # 23 # 03 # 2016 # 03616 # 2016-03-23 # 81 # 2016-03-23-TG-TGH-03616 # TG # TGH # Telegraph # Medium # 512 #  #  # 
000010000001906500000300890740000020009000600020000037487002000300000900000050000 # 08 # 09 # 2016 # 03785 # 2016-09-08 # 81 # 2016-09-08-TG-TGH-03785 # TG # TGH # Telegraph # Medium # 512 #  #  # 
508090003000400005030000070400908031300000006120503004010000050800002000600050402 # 14 # 03 # 2018 # 04337 # 2018-03-14 # 81 # 2018-03-14-TG-TGH-04337 # TG # TGH # Telegraph # Medium # 512 #  #  # 
025000009030700040100003000060030000700902000900070180000200007040000030800000500 # 01 # 07 # 2022 # 05907 # 2022-07-01 # 81 # 2022-07-01-TG-DIAB-05907 # TG # DIAB # Telegraph # Medium # 512 #  #  # 
001508200400000000080100040002009800650000030003700400000903060000000002007802500 # 03 # 07 # 2008 # 01083 # 2008-07-03 # 81 # 2008-07-03-TG-TGH-01083 # TG # TGH # Telegraph # Medium # 514 #  #  # 
080039000006070200700080009600007400030002070004100003300000001001040900000900040 # 17 # 12 # 2008 # 01226 # 2008-12-17 # 81 # 2008-12-17-TG-TGH-01226 # TG # TGH # Telegraph # Medium # 514 #  #  # 
700500094009060080100907020500000007006000000400000001030409000040020500070003006 # 26 # 10 # 2011 # 02120 # 2011-10-26 # 81 # 2011-10-26-TG-TGH-02120 # TG # TGH # Telegraph # Medium # 514 #  #  # 
000308000602000409000000007000050020907010506050040001800000000709000605020901000 # 02 # 04 # 2014 # 02895 # 2014-04-02 # 81 # 2014-04-02-TG-TGH-02895 # TG # TGH # Telegraph # Medium # 514 #  #  # 
060001020000020700000607800050000010007406300030050070002908600005030000010000090 # 16 # 04 # 2014 # 02909 # 2014-04-16 # 81 # 2014-04-16-TG-TGH-02909 # TG # TGH # Telegraph # Medium # 514 #  #  # 
060000040204000500007000080000820300003504700001076000070060800002080003040000060 # 07 # 02 # 2015 # 03206 # 2015-02-07 # 81 # 2015-02-07-TG-TGH-03206 # TG # TGH # Telegraph # Medium # 514 #  #  # 
003040000409702001010805000000000506070000029302000000000009040700403002000010300 # 07 # 01 # 2016 # 03540 # 2016-01-07 # 81 # 2016-01-07-TG-TGH-03540 # TG # TGH # Telegraph # Medium # 514 #  #  # 
000080007400000010800207005020700400000090001006012050500306009030000006100020000 # 04 # 06 # 2016 # 03689 # 2016-06-04 # 81 # 2016-06-04-TG-TGH-03689 # TG # TGH # Telegraph # Medium # 514 #  #  # 
340000506800000002005010940000002000006901200000304000000050100100000004503000098 # 20 # 07 # 2016 # 03735 # 2016-07-20 # 81 # 2016-07-20-TG-TGH-03735 # TG # TGH # Telegraph # Medium # 514 #  #  # 
000760000006000051900000007002007900003080700009630200100000008620000490000053000 # 02 # 08 # 2017 # 04113 # 2017-08-02 # 81 # 2017-08-02-TG-TGH-04113 # TG # TGH # Telegraph # Medium # 514 #  #  # 
103000082000060000005300700200008009000207000308100005009001600000080000030000241 # 04 # 05 # 2018 # 04388 # 2018-05-04 # 81 # 2018-05-04-TG-DIAB-04388 # TG # DIAB # Telegraph # Hard # 514 #  #  # 
000000405000100760580300020050807010000030000030201040000006054079008000100000000 # 01 # 07 # 2021 # 05542 # 2021-07-01 # 81 # 2021-07-01-TG-TGH-05542 # TG # TGH # Telegraph # Medium # 514 #  #  # 
007360000420900000000080004000247001004000600010000009009000000003070006170509030 # 20 # 10 # 2022 #  # 2022-10-20 # 81 # 2022-10-20-EP-DIF # EP # DIF # El Pais # Medium # 514 #  #  # FH NS HS LP LCT1
003000090160089000000500060500006004000020000700010009207000108010004070040800006 # 24 # 10 # 2022 #  # 2022-10-24 # 81 # 2022-10-24-EP-DIF # EP # DIF # El Pais # Medium # 514 #  #  # FH NS HS LCT1
000567803000000000008020900020950010000001004500070000031046007002000000060092000 # 29 # 10 # 2022 #  # 2022-10-29 # 81 # 2022-10-29-EP-DIF # EP # DIF # El Pais # Medium # 514 #  #  # FH NS HS LCT1
000070000240001009068009005010728000800000004000043020600300950100200046000090000 # 05 # 06 # 2008 # 01059 # 2008-06-05 # 81 # 2008-06-05-TG-TGH-01059 # TG # TGH # Telegraph # Medium # 516 #  #  # 
006020500001300700590000023400780005000000000000012008130000092009003100008090600 # 17 # 11 # 2010 # 01826 # 2010-11-17 # 81 # 2010-11-17-TG-TGH-01826 # TG # TGH # Telegraph # Medium # 516 #  #  # 
070200000001004500900800207500300090060090050030006001705008003003700800000009020 # 20 # 04 # 2011 # 01958 # 2011-04-20 # 81 # 2011-04-20-TG-TGH-01958 # TG # TGH # Telegraph # Medium # 516 #  #  # 
030500000004000010071006305320060004000080000100050087603900820080000500000002060 # 29 # 05 # 2013 # 02618 # 2013-05-29 # 81 # 2013-05-29-TG-TGH-02618 # TG # TGH # Telegraph # Medium # 516 #  #  # 
000803000250070100000001036705000003009000200100000409430100700008040021000502000 # 02 # 10 # 2013 # 02726 # 2013-10-02 # 81 # 2013-10-02-TG-TGH-02726 # TG # TGH # Telegraph # Medium # 516 #  #  # 
003000700009142600600300000000000072070615030490000000000003001005781300008000900 # 13 # 08 # 2014 # 03028 # 2014-08-13 # 81 # 2014-08-13-TG-TGH-03028 # TG # TGH # Telegraph # Medium # 516 #  #  # 
002015600000800001600704080000000250007000800029000000050203008100908000008560300 # 13 # 09 # 2014 # 03059 # 2014-09-13 # 81 # 2014-09-13-TG-TGH-03059 # TG # TGH # Telegraph # Medium # 516 #  #  # 
080310600000200040006800710740000950000000000015000027079002000060008000008035070 # 30 # 07 # 2015 # 03379 # 2015-07-30 # 81 # 2015-07-30-TG-TGH-03379 # TG # TGH # Telegraph # Medium # 516 #  #  # 
300007040004095700000304020006100000045000690000006000060403000007960100090800002 # 22 # 06 # 2016 # 03707 # 2016-06-22 # 81 # 2016-06-22-TG-TGH-03707 # TG # TGH # Telegraph # Medium # 516 #  #  # 
090000540400000700060470001000805420000010000083702000900083060004000008016000070 # 27 # 01 # 2018 # 04291 # 2018-01-27 # 81 # 2018-01-27-TG-TGH-04291 # TG # TGH # Telegraph # Medium # 516 #  #  # 
009000006300506000246000500000070210000481000037090000004000862000108009500000100 # 19 # 10 # 2018 # 04556 # 2018-10-19 # 81 # 2018-10-19-TG-DIAB-04556 # TG # DIAB # Telegraph # Hard # 516 #  #  # 
010007005000020000309004000700040000268000400000030007003200506000070000670800010 # 08 # 01 # 2009 # 01246 # 2009-01-08 # 81 # 2009-01-08-TG-TGH-01246 # TG # TGH # Telegraph # Medium # 518 #  #  # 
300000002500000010020106083000040000050203060000090000160305090080020005040000000 # 01 # 07 # 2010 # 01707 # 2010-07-01 # 81 # 2010-07-01-TG-TGH-01707 # TG # TGH # Telegraph # Medium # 518 #  #  # 
802507000000000100004000806900030000010205060000070004501000002009000000000304905 # 12 # 08 # 2010 # 01743 # 2010-08-12 # 81 # 2010-08-12-TG-TGH-01743 # TG # TGH # Telegraph # Medium # 518 #  #  # 
001600400003020580000001070540008000000000000000400063010800040800090200002007300 # 15 # 04 # 2011 # 01954 # 2011-04-15 # 81 # 2011-04-15-TG-DIAB-01954 # TG # DIAB # Telegraph # Medium # 518 #  #  # 
100900050342000000000230000000700006070000000460050109000000600090060048001007005 # 18 # 10 # 2022 #  # 2022-10-18 # 81 # 2022-10-18-EP-DIF # EP # DIF # El Pais # Medium # 518 #  #  # FH NS HS LCT1
000406000800090046300020000510004000600802009000600035000080000190060058000901000 # 06 # 02 # 2013 # 02522 # 2013-02-06 # 81 # 2013-02-06-TG-TGH-02522 # TG # TGH # Telegraph # Medium # 520 #  #  # 
003400020040906080900080000000005430300000001095300000400020006050807040080004000 # 03 # 12 # 2014 # 03140 # 2014-12-03 # 81 # 2014-12-03-TG-TGH-03140 # TG # TGH # Telegraph # Medium # 520 #  #  # 
450070000070005030003100600810000005000010300900000064007009800090600070000080049 # 11 # 06 # 2015 # 03330 # 2015-06-11 # 81 # 2015-06-11-TG-TGH-03330 # TG # TGH # Telegraph # Medium # 520 #  #  # 
400000002006000700080506014052730000800000007000094020070603090001000400600000001 # 13 # 04 # 2016 # 03637 # 2016-04-13 # 81 # 2016-04-13-TG-TGH-03637 # TG # TGH # Telegraph # Medium # 520 #  #  # 
000600200100008006060040058010000007000294000200050090420080070800300005001007000 # 07 # 07 # 2016 # 03722 # 2016-07-07 # 81 # 2016-07-07-TG-TGH-03722 # TG # TGH # Telegraph # Medium # 520 #  #  # 
000300008100400053005000000010206004006030100400109030000000900970005001800003005 # 17 # 09 # 2016 # 03794 # 2016-09-17 # 81 # 2016-09-17-TG-TGH-03794 # TG # TGH # Telegraph # Medium # 520 #  #  # 
800706001000000920100020004009030006080000010607050800200040005064000000700009003 # 07 # 10 # 2017 # 04179 # 2017-10-07 # 81 # 2017-10-07-TG-TGH-04179 # TG # TGH # Telegraph # Medium # 520 #  #  # 
300600000049005820060004050850000900100000002002000035030200000006800390000006007 # 04 # 07 # 2018 # 04449 # 2018-07-04 # 81 # 2018-07-04-TG-TGH-04449 # TG # TGH # Telegraph # Medium # 520 #  #  # 
700000000602009000091000620800040050050080040070010008043070860000500304000000001 # 08 # 08 # 2019 # 04849 # 2019-08-08 # 81 # 2019-08-08-TG-TGH-04849 # TG # TGH # Telegraph # Medium # 520 #  #  # 
008790100000008000000360208080000020900806005020007090704081000000400000000059300 # 31 # 10 # 2020 # 05299 # 2020-10-31 # 81 # 2020-10-31-TG-TGH-05299 # TG # TGH # Telegraph # Medium # 520 #  #  # 
800700045000108730000000000009230800700000002002069500000000000097401000230000901 # 30 # 09 # 2021 # 05633 # 2021-09-30 # 81 # 2021-09-30-TG-TGH-05633 # TG # TGH # Telegraph # Medium # 520 #  #  # 
007005000300100900020600347700000008000843000600000002572009000009006001000500200 # 09 # 10 # 2021 # 05642 # 2021-10-09 # 81 # 2021-10-09-TG-TGH-05642 # TG # TGH # Telegraph # Medium # 520 #  #  # 
400710002008020507000003640900060000000308000000090006041900000602070300700032004 # 19 # 06 # 2008 # 01071 # 2008-06-19 # 81 # 2008-06-19-TG-TGH-01071 # TG # TGH # Telegraph # Medium # 522 #  #  # 
297040180000500000000000070970201000036000290000908064060000000000002000023090648 # 28 # 08 # 2008 # 01131 # 2008-08-28 # 81 # 2008-08-28-TG-TGH-01131 # TG # TGH # Telegraph # Hard # 522 #  #  # 
470020061000000009300106000030200006080701090100005070000609004700000000590010037 # 14 # 03 # 2012 # 02240 # 2012-03-14 # 81 # 2012-03-14-TG-TGH-02240 # TG # TGH # Telegraph # Medium # 522 #  #  # 
